Transaction_ID,Date,Category,Region,Payment_Mode,Segment,Sales,Profit,Discount,Rating,Latitude,Longitude
1,2024-01-01 00:00:00,Groceries,North America,Crypto,Home Office,4216.2,1017.87,0.29,5,40.939973844009586,-75.28345753638004
2,2024-01-01 01:00:00,Books,Europe,Credit Card,Consumer,2039.08,1386.33,0.08,2,57.28822417025822,7.959307035438744
3,2024-01-01 02:00:00,Clothing,Latin America,Debit Card,Corporate,3733.22,1491.33,0.18,2,3.2269323888183337,-59.54848407962735
4,2024-01-01 03:00:00,Books,Europe,PayPal,Home Office,1014.95,-99.67,0.01,4,46.60856932555525,7.5443568460530095
5,2024-01-01 04:00:00,Books,Asia Pacific,Crypto,Corporate,4061.66,1473.04,0.05,3,23.910139708215013,117.96780905274346
6,2024-01-01 05:00:00,Furniture,Europe,Debit Card,Home Office,426.49,61.39,0.01,3,44.36659588844714,28.14190935680663
7,2024-01-01 06:00:00,Clothing,Europe,Debit Card,Home Office,1360.08,12.66,0.16,1,44.48363701992619,19.219364717470725
8,2024-01-01 07:00:00,Clothing,Middle East,Bank Transfer,Home Office,4111.54,1128.5,0.15,4,22.84765820179773,37.92191664907302
9,2024-01-01 08:00:00,Clothing,Asia Pacific,Bank Transfer,Consumer,3738.32,460.3,0.1,3,-1.9402812171519805,122.5391097847485
10,2024-01-01 09:00:00,Books,North America,Debit Card,Corporate,2511.22,1368.5,0.21,4,45.28058472980647,-101.89222213007383
11,2024-01-01 10:00:00,Groceries,Europe,Bank Transfer,Consumer,3367.24,771.21,0.19,1,43.13967977814262,6.824874067374466
12,2024-01-01 11:00:00,Clothing,North America,PayPal,Consumer,936.01,517.78,0.18,5,39.941182413525226,-101.93863318652288
13,2024-01-01 12:00:00,Toys,Asia Pacific,PayPal,Home Office,3342.14,17.5,0.1,4,-9.963064723798773,131.71775797809906
14,2024-01-01 13:00:00,Books,Europe,Bank Transfer,Consumer,49.8,643.42,0.1,2,38.557948445619004,23.740504079748895
15,2024-01-01 14:00:00,Furniture,Middle East,Credit Card,Corporate,4167.75,344.64,0.26,5,21.884278234897806,49.45006465664185
16,2024-01-01 15:00:00,Groceries,Latin America,Debit Card,Corporate,2586.28,22.58,0.16,3,4.20469505946982,-73.82909613034857
17,2024-01-01 16:00:00,Toys,Middle East,PayPal,Home Office,4719.95,972.62,0.08,1,30.55270414073724,35.957711244619915
18,2024-01-01 17:00:00,Toys,Middle East,Bank Transfer,Home Office,2396.04,1463.74,0.16,1,33.42737161318843,40.03966328128625
19,2024-01-01 18:00:00,Furniture,Latin America,Bank Transfer,Corporate,2171.11,506.26,0.08,2,1.776547776794935,-77.31118027047083
20,2024-01-01 19:00:00,Groceries,Latin America,PayPal,Corporate,2255.76,375.62,0.06,4,-16.918063164565925,-54.65810418987368
21,2024-01-01 20:00:00,Books,Latin America,PayPal,Home Office,1805.05,43.94,0.08,2,-3.6470130618925936,-52.04761626721304
22,2024-01-01 21:00:00,Electronics,Europe,Credit Card,Consumer,841.71,257.03,0.19,4,43.771476880500565,23.30041139437313
23,2024-01-01 22:00:00,Groceries,North America,Bank Transfer,Corporate,4211.89,355.96,0.15,2,35.71253588156746,-96.04480469519544
24,2024-01-01 23:00:00,Furniture,North America,Bank Transfer,Home Office,1951.54,450.68,0.05,2,38.680662245043436,-119.91160803029821
25,2024-01-02 00:00:00,Toys,Latin America,Crypto,Home Office,2650.25,914.35,0.27,1,3.8639303866847925,-45.31435419564283
26,2024-01-02 01:00:00,Books,Middle East,Credit Card,Corporate,109.24,83.8,0.15,4,19.074507211798974,45.41333718364689
27,2024-01-02 02:00:00,Groceries,Asia Pacific,PayPal,Home Office,310.67,-6.52,0.24,2,13.243788520298352,113.91376134330324
28,2024-01-02 03:00:00,Electronics,Latin America,PayPal,Corporate,2989.94,1388.93,0.1,3,-29.10909579703391,-49.6473946165838
29,2024-01-02 04:00:00,Electronics,Middle East,Debit Card,Home Office,4397.35,1178.7,0.29,1,32.239166148487236,38.554846944497285
30,2024-01-02 05:00:00,Clothing,Middle East,PayPal,Home Office,2472.05,345.16,0.23,1,32.932579035433236,56.272805410257256
